ability_id,attack_type,damage_type,en
2748083284738048,Melee,Energy,Cleave
2877069742571520,Force,Kinetic,Mighty Leap
2022405610405888,Melee,Energy,Maul
3221088033046528,Tech,Kinetic,Orbital Bombardment
3362023089897472,Force,Elemental,Shock
3248824931844096,Melee,Energy,Ranged Attack
3196112798220288,Melee,Energy,Melee Attack
1460787096846593,Force,Internal,Bleeding (Physical)
1460787096846336,Melee,Energy,Shatter
3021702766264320,Melee,Energy,Obliterate
2306672315858944,Tech,Kinetic,Shiv
3010561621098496,Force,Energy,Nasty Bite
2879152801710080,Ranged,Energy,Full Auto
2996040336670720,Melee,Energy,Saber Strike
3141601073299456,Tech,Kinetic,Leap Slam
3569762068070400,Force,Kinetic,Force Crush
3377789914841088,Melee,Energy,Great Swipe
2850629923897344,Tech,Kinetic,Blastwave
3187505683759104,Tech,Kinetic,Jet Charge
1962284658196480,Melee,Energy,Low Slash
2953674779263239,Tech,Energy,Overcharge
2856870511378432,Force,Kinetic,Icicle Smash
2777752918819079,Tech,Elemental,Incendiary Missile
2777752918819081,Tech,Elemental,Burning (Physical)
2777752918818816,Tech,Elemental,Flame Sweep
3569250966962176,Melee,Energy,Threatening Strike
2778311264567296,Melee,Energy,Drill Strike
2923897770999808,Ranged,Energy,Mortar Volley
3438971723972864,Tech,Energy,Dark Seed
3438971723972608,Melee,Energy,Heavy Strike
3755747036889088,Melee,Energy,Power Swipe
2853902688977160,Tech,Kinetic,Explosive Probe (Any)
3042224120004608,Force,Kinetic,Smash
2779372121489664,Tech,Internal,Bleeding
2779372121489408,Melee,Energy,Obliterate
2790487496851456,Tech,Kinetic,Smash
2877207181524992,Ranged,Energy,Ranged Attack
2876958073421824,Tech,Kinetic,Defensive Systems
2057998004387840,Ranged,Energy,Snipe
3204784337190912,Ranged,Energy,Ranged Attack
2535448043847680,Melee,Energy,Force Leap
829392544595968,Force,Kinetic,Smash
2920143969583104,Force,Elemental,Breath of the Masters
3010256678420480,Tech,Energy,Black Obtuse
2857338662813696,Melee,Energy,Crush
3022140852928512,Tech,Elemental,Overcharged Jetpack
3066645304049664,Melee,Energy,Melee Attack
3503361873674240,Force,Energy,Vengeful Slam
2809286568706309,Tech,Kinetic,Shielded
2194861432242176,Melee,Energy,Sundering Assault
811954977374482,Force,Energy,Shocked
3010845088940032,Melee,Energy,Flurry
3010827909070848,Melee,Energy,Sting
2878929463410688,Ranged,Energy,Rifle Shot
3209491621347588,Tech,Elemental,Burning
3209491621347328,Tech,Elemental,Flamethrower
2497695281316096,Tech,Kinetic,Explosive Probe (Tech)
3342188930924544,Force,Kinetic,Force Lightning
2043687173357568,Ranged,Energy,Blast Attack
3061667436953861,Tech,Elemental,Phasic Spittle
2879341780271104,Melee,Energy,Lunge
2879062607396864,Melee,Energy,Slash
2996435473661952,Tech,Energy,Exposed Wiring
3434771245957120,Melee,Energy,Savage Flurry
3317991085179136,Force,Kinetic,Crushed
